1 0 6196
2 6196 9802
3 15998 7697
4 23695 4289
5 27984 6636
6 34620 6182
7 40802 3131
8 43933 2503
9 46436 1533
10 47969 3943
11 51912 3154
12 55066 3788
13 58854 2893
14 61747 28673
15 90420 7163
16 97583 6172
17 103755 1715
18 105470 1747
19 107217 1466
20 108683 1165
21 109848 4774
22 114622 7703
23 122325 4315
24 126640 3342
25 129982 3658
26 133640 4760
27 138400 2166
28 140566 1778
29 142344 2388
30 144732 4071
31 148803 2989
32 151792 2917
33 154709 4096
34 158805 2655
35 161460 8247
36 169707 4775
37 174482 7704
38 182186 4316
39 186502 3343
40 189845 3659
41 193504 4761
42 198265 2167
43 200432 1779
44 202211 2389
45 204600 4072
46 208672 2990
47 211662 2918
48 214580 4097
49 218677 2656
50 221333 8248
